Timestamp,How busy are you?,How happy are you with that level of business?,Do you have time to get dinner with a friend tonight?,How do you spend your time? (morning) [00:00 - 01:00],How do you spend your time? (morning) [01:00 - 02:00],How do you spend your time? (morning) [02:00 - 03:00],How do you spend your time? (morning) [03:00 - 04:00],How do you spend your time? (morning) [04:00 - 05:00],How do you spend your time? (morning) [05:00 - 06:00],How do you spend your time? (morning) [06:00 - 07:00],How do you spend your time? (morning) [07:00 - 08:00],How do you spend your time? (morning) [08:00 - 09:00],How do you spend your time? (morning) [09:00 - 10:00],How do you spend your time? (morning) [10:00 - 11:00],How do you spend your time? (morning) [11:00 - 12:00],How do you spend your time? (afternoon) [12:00 - 13:00],How do you spend your time? (afternoon) [13:00 - 14:00],How do you spend your time? (afternoon) [14:00 - 15:00],How do you spend your time? (afternoon) [15:00 - 16:00],How do you spend your time? (afternoon) [16:00 - 17:00],How do you spend your time? (afternoon) [17:00 - 18:00],How do you spend your time? (afternoon) [18:00 - 19:00],How do you spend your time? (afternoon) [19:00 - 20:00],How do you spend your time? (afternoon) [20:00 - 21:00],How do you spend your time? (afternoon) [21:00 - 22:00],How do you spend your time? (afternoon) [22:00 - 23:00],How do you spend your time? (afternoon) [23:00 - 00:00],What would you change about how you spend your time?,Comment or suggestions on this survey
1/31/2017 13:39:49,3,6,Yes,"Socializing, relaxing","Personal care (eating, chores etc)",Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,"Personal care (eating, chores etc)",In class,In class,"Socializing, relaxing",In class,"Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects","Personal care (eating, chores etc)",Exercise,"Personal care (eating, chores etc)","Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects",,
1/31/2017 13:41:11,7,4,No,"Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Personal care (eating, chores etc)",Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,"Personal care (eating, chores etc)","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups",,"for the record, my ""other"" includes/solely consists of volunteer work/personal projects."
1/31/2017 14:11:57,5,4,Yes,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,"Personal care (eating, chores etc)","Psetting, studying, class projects",In class,In class,"Personal care (eating, chores etc)",In class,In class,Exercise,Exercise,"Paid work, UROP","Personal care (eating, chores etc)","Psetting, studying, class projects","Psetting, studying, class projects","Socializing, relaxing","Socializing, relaxing","Personal care (eating, chores etc)",,
1/31/2017 15:46:12,6,3,Maybe,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Exercise,"Personal care (eating, chores etc)","Psetting, studying, class projects","Paid work, UROP",In class,"Personal care (eating, chores etc)",In class,In class,"Psetting, studying, class projects",Exercise,Exercise,Exercise,"Personal care (eating, chores etc)","Psetting, studying, class projects","Psetting, studying, class projects",Sleep,Sleep,"more socializing, less psetting :/ ",maybe clarify if in semester vs. iap (i spend my time a little differently during iap with relation to class/work)
1/31/2017 17:38:13,6,5,Maybe,"Psetting, studying, class projects",Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,In class,In class,In class,In class,In class,Exercise,Exercise,"Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects","Personal care (eating, chores etc)","Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects","i wish i didn't have so much work to do.  if so, i'd socialize more often and hopefully still be able to sleep sooner",
1/31/2017 18:24:07,5,2,Maybe,"Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects",Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,In class,In class,In class,In class,In class,In class,"Socializing, relaxing","Socializing, relaxing","Psetting, studying, class projects","Psetting, studying, class projects","Personal care (eating, chores etc)","Personal care (eating, chores etc)",Other,"Psetting, studying, class projects","Psetting, studying, class projects","Work more efficiently and earlier in the day to have more sleep. Exercise on a regular basis, not just when I can.","You should allow for multiple answers for each time since psetting or work can also be related to socializing. Cooking and sleep is almost always social, and depending on the day the schedule varies."
1/31/2017 18:52:12,5,2,No,"Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects",Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,"Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects","Personal care (eating, chores etc)","Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects","Personal care (eating, chores etc)","Psetting, studying, class projects","Psetting, studying, class projects",more fun stuff,u r a cool dude
2/1/2017 11:02:56,5,6,No,"Psetting, studying, class projects","Psetting, studying, class projects","Socializing, relaxing",Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,"Personal care (eating, chores etc)",Exercise,In class,"Psetting, studying, class projects","Personal care (eating, chores etc)","Socializing, relaxing","Personal projects, student groups","Personal projects, student groups","Personal projects, student groups","Socializing, relaxing","Socializing, relaxing","Socializing, relaxing","Socializing, relaxing",Other,Other,Better sleep schedule - sleep 12 - 8:30am,
2/2/2017 17:15:28,3,2,Yes,"Socializing, relaxing","Socializing, relaxing","Socializing, relaxing","Personal care (eating, chores etc)","Personal care (eating, chores etc)",Sleep,Sleep,Sleep,Sleep,Sleep,"Paid work, UROP","Paid work, UROP","Paid work, UROP","Paid work, UROP","Paid work, UROP","Paid work, UROP","Paid work, UROP","Paid work, UROP","Socializing, relaxing","Socializing, relaxing","Socializing, relaxing","Socializing, relaxing","Socializing, relaxing","Socializing, relaxing",,
2/2/2017 17:15:39,5,4,Maybe,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,"Personal care (eating, chores etc)","Personal care (eating, chores etc)","Personal care (eating, chores etc)",In class,In class,In class,In class,In class,"Paid work, UROP","Paid work, UROP","Psetting, studying, class projects","Psetting, studying, class projects","Socializing, relaxing","Psetting, studying, class projects","Psetting, studying, class projects","Psetting, studying, class projects","Socializing, relaxing",Would sleep more :).,Allow multiple options(Time is sometimes spent differently during different days and during different levels of business
